Result file for: SPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 9/6/2016 2:14:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response codes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0: No response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1: False Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2: False Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3: User was unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4: Correct positive response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5: Correct negative response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responses:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,4a,5a,16a,23a,30a,32a,34a,35a,39a,40a,43a,45a,47a,48a,49a,53a,57a,63a,65a,67a,70a,75a,77a,79a,80a,87a,,,,,,,,,,,
UAV #7 Responses :,5,5,4,5,5,5,5,4,5,4,2,4,5,5,5,4,4,5,2,4,4,4,5,4,5,4,,,,,,,,,,,
UAV #7 Target Time Stamp :,0,0,7.201,0,0,0,0,8.239,0,8.914,0,6.592,0,0,0,6.148,6.068,0,0,8.057,7.265,6.299,0,6.968,0,8.021,,,,,,,,,,,
UAV #7 Response Time:,0,0,2.201,0,0,0,0,3.239,0,3.914,0,1.592,0,0,0,1.148,1.068,0,0,3.057,2.265,1.299,0,1.968,0,3.021,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,3a,7a,9a,17a,18a,25a,26a,34a,38a,44a,48a,51a,52a,54a,58a,60a,62a,64a,71a,73a,74a,75a,76a,82a,84a,89a,,,,,,,,,,,
UAV #8 Responses :,5,5,5,5,4,5,4,4,2,4,4,5,4,5,5,4,4,5,5,5,4,5,5,5,2,5,,,,,,,,,,,
UAV #8 Target Time Stamp :,0,0,0,0,4.728,0,5.48,8.42,0,5.83,5.513,0,5.883,0,0,4.861,5.999,0,0,0,9.919,0,0,0,0,0,,,,,,,,,,,
UAV #8 Response Time:,0,0,0,0,2.728,0,3.48,6.42,0,3.83,3.513,0,3.883,0,0,2.861,3.999,0,0,0,7.919,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,0a,1a,4a,8a,11a,13a,14a,15a,21a,24a,26a,30a,31a,32a,36a,37a,40a,42a,43a,45a,47a,50a,55a,56a,60a,61a,66a,67a,70a,72a,74a,77a,79a,83a,85a,,
UAV #9 Responses :,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,4,5,5,4,5,2,5,5,5,4,5,5,5,,
