ParticipantNumber,TryNumber,Workload,simulationDateTime,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiamet,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiame,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,MarkerX,MarkerY,MarkerScale,MarkerValid,SystemTime,Time,TimeTick,UserData,MissionTime
114,T,Training,D20200305T0747,220536,1001.6256,840.0672,0,-72.44800000000001,-27.7632,0.6763899999999999,4.21,1,89.7792,-30.5568,0.68183,4.19,1,1523.3536,18.4608,1536.3770000000002,0.03333,5118,1,1487.9232,121.7232,1,1528.8064,46.152,1,1508.352,83.9376,1,1001.6256,840.0672,17.64275,0.95745,1,1624.1664,852.696,16.3326,0.94981,1,0.51293,0.51948,0.20715999999999998,1,7:47:43 AM,1536.41,2350000000000.0,,2.183999999999969
114,T,Training,D20200305T0747,220537,1002.1888,839.9376,0,-72.44800000000001,-27.7632,0.6763899999999999,4.21,1,89.7792,-30.5568,0.68183,4.15,1,1526.9888,29.6784,1536.3770000000002,0.040530000000000004,5118,1,1579.4944,107.9136,1,1518.08,86.0112,1,1548.8,96.9552,1,1002.1888,839.9376,17.667279999999998,0.94981,1,1626.1376,853.1712,16.34708,0.9421799999999999,1,0.51332,0.51947,0.2059,1,7:47:43 AM,1536.4170000000001,2350000000000.0,,2.191000000000031
114,T,Training,D20200305T0747,220538,1002.24,840.096,0,-72.44800000000001,-27.7632,0.6763899999999999,4.2,1,89.7792,-30.5568,0.68183,4.07,1,1529.6512,41.61600000000001,1536.3770000000002,0.04675,5118,1,1534.336,112.6224,1,1562.112,137.6208,1,1548.2112,125.1216,1,1002.24,840.096,18.02865,0.9421799999999999,1,1626.6496,853.0128,16.0888,0.9345399999999999,1,0.51332,0.51947,0.2059,1,7:47:43 AM,1536.4229999999998,2350000000000.0,,2.1969999999996617
114,T,Training,D20200305T0747,220539,1002.5984,840.1536,0,-74.0096,-28.44,0.69476,4.14,1,97.40799999999999,-33.2928,0.73763,4.02,1,1532.0576,49.2192,1536.3770000000002,0.05322,5118,1,1534.336,112.32,1,1568.384,107.9136,1,1551.36,110.1168,1,1002.5984,840.1536,18.33299,0.94235,1,1626.5216,853.3008,16.61666,0.9510799999999999,1,0.5139199999999999,0.51953,0.2062,1,7:47:43 AM,1536.43,2350000000000.0,,2.203999999999951
114,T,Training,D20200305T0747,220540,1003.3408,839.952,0,-74.0096,-28.44,0.69476,4.17,1,97.40799999999999,-33.2928,0.73763,4.01,1,1533.7216,49.8096,1536.3770000000002,0.06042,5118,1,1569.408,106.2432,1,1528.2432,3.8304,1,1548.8256,55.0368,1,1003.3408,839.952,17.87313,0.9588899999999999,1,1626.9056,853.2719999999999,16.32691,0.97526,1,0.5143300000000001,0.5196,0.20659,1,7:47:43 AM,1536.4370000000001,2350000000000.0,,2.2110000000000127
114,T,Training,D20200305T0747,220541,1002.4960000000001,840.4272,0,-74.0096,-28.44,0.69476,4.23,1,97.40799999999999,-33.2928,0.73763,3.96,1,1534.5152,48.5568,1536.3770000000002,0.06812,5118,1,1566.6688,71.6976,1,1518.08,0.5472,1,1542.3744,36.1296,1,1002.4960000000001,840.4272,18.48551,0.9830700000000001,1,1626.9568,853.5168,16.54113,0.99944,1,0.5143300000000001,0.5196,0.20659,1,7:47:43 AM,1536.445,2350000000000.0,,2.2189999999998236
114,T,Training,D20200305T0747,220542,1002.368,840.456,0,-74.0096,-28.584,0.69476,4.27,1,97.40799999999999,-33.3792,0.73763,3.95,1,1535.4624,43.9632,1536.3770000000002,0.07361000000000001,5118,1,1566.2592,30.1392,1,1525.7088,-43.2576,1,1545.984,-6.5520000000000005,1,1002.368,840.456,18.38448,1.00725,1,1626.7520000000002,853.92,16.88005,1.02362,1,0.51449,0.51967,0.20728000000000002,1,7:47:43 AM,1536.45,2350000000000.0,,2.2239999999999327
114,T,Training,D20200305T0747,220543,1003.3408,840.5568,0,-74.0096,-28.584,0.69476,4.04,1,97.40799999999999,-33.3792,0.73763,4.04,1,1536.5376,35.6976,1536.3770000000002,0.08032,5118,1,1492.9408,-106.3584,1,1605.5296,-20.5488,1,1549.2352,-63.4608,1,1003.3408,840.5568,17.455779999999997,1.02362,1,1626.4448,854.4672,16.68787,1.02362,1,0.51464,0.51983,0.20663,1,7:47:43 AM,1536.457,2350000000000.0,,2.2309999999999945
114,T,Training,D20200305T0747,220544,1003.1872,840.3839999999999,0,-74.0096,-28.584,0.69476,4.06,1,97.40799999999999,-33.3792,0.73763,3.95,1,1537.664,29.4912,1536.3770000000002,0.08691,5118,1,1534.8224,-42.408,1,1570.2272,-59.9904,1,1552.5120000000002,-51.2064,1,1003.1872,840.3839999999999,17.92715,1.02362,1,1626.9568,854.6256,16.75304,1.02362,1,0.51464,0.51983,0.20663,1,7:47:43 AM,1536.464,2350000000000.0,,2.237999999999829
114,T,Training,D20200305T0747,220545,1002.8032,840.8592,0,-74.5984,-28.944000000000003,0.69776,3.98,1,97.40799999999999,-33.696,0.73763,3.84,1,1538.6624,24.12,1536.3770000000002,0.09362999999999999,5118,1,1534.8224,-42.408,1,1570.2272,-59.9904,1,1552.5120000000002,-51.2064,1,1002.8032,840.8592,18.1146,1.02362,1,1626.3936,855.072,16.35909,1.02362,1,0.5149,0.52028,0.20636,1,7:47:43 AM,1536.47,2350000000000.0,,2.2439999999999145
