participantNumber,TrialNumber,WorkloadCondition,SystemDate,SystemTime,MissionTime,TaskType,UAVNumber,MessageTime,MessageFrom,MessageResponseRequested,MessageContent,MessageCorrectAnswer,MessageAnswerAccuracy,MessageResponseTime,FLPlannedStartTime,FLRealStartTime,FLStopSystemTime,FLStopTime,FLResponseTime,FLAccuracy,TDWaypointOrder,TDWaypointLocation,TDTargetPresent,TDTargetSpawnTime,TDFinalInput,TDRespone,TDButtonClickTime,TDResponseTimestamp,TDResponseTime,RRTimePlanProjNFZ,RRTimeProjNFZ,RRTimeofRR,RRFinalInput,RRSuccessfulRR,RRResponseTime,Score,HighestPossibleScore
227,1,G,3/12/2020,33:00.3,50.08345,TargetDetection,4,,,,,,,,,,,,,,5,7,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:00.3,50.06267,TargetDetection,10,,,,,,,,,,,,,,5,8,1,8,1,TP,56.04232,7.030563,5.030563,,,,,,,100,100
227,1,G,3/12/2020,33:10.2,59.99948,TargetDetection,9,,,,,,,,,,,,,,6,2,1,7,1,TP,69.15381,8.838366,5.838366,,,,,,,100,100
227,1,G,3/12/2020,33:10.3,60.01966,TargetDetection,7,,,,,,,,,,,,,,6,1,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.3,60.01966,TargetDetection,2,,,,,,,,,,,,,,6,7,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.2,59.99948,TargetDetection,5,,,,,,,,,,,,,,6,14,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.2,59.99948,TargetDetection,6,,,,,,,,,,,,,,6,15,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.2,59.99948,TargetDetection,13,,,,,,,,,,,,,,6,12,1,5,1,TP,69.81802,10.81387,5.813869,,,,,,,100,100
227,1,G,3/12/2020,33:10.3,60.01966,TargetDetection,8,,,,,,,,,,,,,,6,6,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.2,59.99948,TargetDetection,3,,,,,,,,,,,,,,6,8,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.3,60.01966,TargetDetection,12,,,,,,,,,,,,,,6,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.3,60.01966,TargetDetection,14,,,,,,,,,,,,,,6,3,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.3,60.05631,TargetDetection,1,,,,,,,,,,,,,,6,6,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.3,60.05631,TargetDetection,11,,,,,,,,,,,,,,6,4,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:10.3,60.05631,TargetDetection,15,,,,,,,,,,,,,,6,9,1,7,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,33:20.2,69.99522,TargetDetection,2,,,,,,,,,,,,,,7,8,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.3,70.05389,TargetDetection,10,,,,,,,,,,,,,,7,1,1,8,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,33:20.2,70.01485,TargetDetection,16,,,,,,,,,,,,,,7,12,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.2,70.01485,TargetDetection,13,,,,,,,,,,,,,,7,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.3,70.05389,TargetDetection,12,,,,,,,,,,,,,,7,9,1,6,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,33:20.2,70.01485,TargetDetection,8,,,,,,,,,,,,,,7,7,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.2,69.99522,TargetDetection,5,,,,,,,,,,,,,,7,15,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.2,69.99522,TargetDetection,6,,,,,,,,,,,,,,7,14,1,6,1,TP,76.77351,6.160977,2.160977,,,,,,,100,100
227,1,G,3/12/2020,33:20.3,70.07706,TargetDetection,1,,,,,,,,,,,,,,7,5,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.2,70.01485,TargetDetection,4,,,,,,,,,,,,,,7,3,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.3,70.05389,TargetDetection,14,,,,,,,,,,,,,,7,6,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.2,70.01485,TargetDetection,3,,,,,,,,,,,,,,7,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:20.3,70.07706,TargetDetection,11,,,,,,,,,,,,,,7,16,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:35.2,85.01281,FuelLeak,3,,,,,,,,85,85.01281,33:36.5,86.31604,1.30323,1,,,,,,,,,,,,,,,,30,30
227,1,G,3/12/2020,33:30.3,80.05562,TargetDetection,9,,,,,,,,,,,,,,8,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:30.3,80.05562,TargetDetection,4,,,,,,,,,,,,,,8,2,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:30.3,80.05562,TargetDetection,14,,,,,,,,,,,,,,8,5,0,NA,1,TN,,,,,,,,,,50,50
